2025-10-07 22:48:36 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 20
2025-10-07 22:50:28 | Exception: DB_DRIVER should be one of: mysqli, pdo_mysql, sqlite3, pdo_sqlite, mongodb. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 40
2025-10-07 22:52:35 | Exception: Invalid DB_DRIVER: mysqliss | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 41
2025-10-07 22:52:55 | Exception: Invalid DB_DRIVER: mysqliss. Accepts: mysqli, pdo_mysql, sqlite3, pdo_sqlite, mongodb | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 41
2025-10-07 22:53:23 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 87
2025-10-07 23:16:26 | Exception: Craft\Application\Mail::fast(): Argument #3 ($body) must be of type string, null given, called in C:\laragon\www\DocTruyenHay\app\Router\api.php on line 34 | File: C:\laragon\www\DocTruyenHay\src\Application\Mail.php | Line: 168
2025-10-07 23:41:40 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 88
2025-10-08 00:46:35 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 88
2025-10-08 00:48:32 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 88
2025-10-08 16:41:57 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 88
2025-10-08 16:45:47 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 88
2025-10-10 21:15:56 | Exception: Invalid DB_DESIGN: builderss. Accepts: mapper, builder. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 54
2025-10-12 21:29:43 | Exception: Invalid DB_DRIVER: pdo_sqlitesse. Accepts: mysqli, pdo_mysql, sqlite3, pdo_sqlite. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 46
2025-10-12 21:50:29 | Exception: PDO SQLite extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 20
2025-10-12 21:50:38 | Exception: PDO SQLite extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 20
2025-10-13 12:57:18 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 695
2025-10-13 16:12:15 | Exception: Duplicate route detected: GET /demo  | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 105
2025-10-13 16:12:39 | Exception: View file not found: C:\laragon\www\DocTruyenHay\resource/view/mail/demo.php | File: C:\laragon\www\DocTruyenHay\src\Application\View.php | Line: 72
2025-10-13 20:47:28 | Exception: SMTP Authentication failed: Wrong username or application password. | File: C:\laragon\www\DocTruyenHay\src\Application\Mail.php | Line: 173
2025-10-14 15:07:17 | Exception: 400 Bad Request: Missing required parameter for route /demo/mail/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 681
2025-10-14 15:09:56 | Exception: View file not found: C:\laragon\www\DocTruyenHay\resource/view/email/forget_password.php | File: C:\laragon\www\DocTruyenHay\src\Application\View.php | Line: 72
2025-10-14 20:22:28 | Exception: 405 Method Not Allowed: The requested URL / exists but does not support POST method.Allowed: GET | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-10-14 20:22:56 | Exception: 405 Method Not Allowed: The requested URL / exists but does not support POST method.Allowed: GET | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-10-14 20:23:02 | Exception: 405 Method Not Allowed: The requested URL / exists but does not support POST method.Allowed: GET | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
